Unnamed: 0,id,y,year,stage,match,gameday,time,home,away,stadium,tv,home_score,away_score,weather,temperature,humidity,Discomfort,discom,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11,address,capa,home_rank,away_rank,forme,roofcover,mobilization,home_lat,home_long,away_lat,away_long,distance_km,timezone,MONTH,WEEK,tv_num,WEATHER,match_num,week_timezone,month_timezone,train,roofcover_1,capa_bining,distance_km2,rep_count,阿部　勇樹,遠藤　保仁,柿谷　曜一朗,駒野　友一,権田　修一,原口　元気,今野　泰幸,佐藤　寿人,山口　蛍,柴崎　岳,森重　真人,森脇　良太,水本　裕貴,西川　周作,青山　敏弘,前田　遼一,大久保　嘉人,大迫　勇也,谷口　博之,中村　憲剛,南野　拓実,柏木　陽介,豊田　陽平,槙野　智章,林　卓人,齋藤　学,髙萩　洋次郎,rep_away,rep_home,referee_rate,referee_rank,season_ticket,season_ticket_rate
10,14004,41069,2012,Ｊ１,第２節第１日,03/17(土),14:04,浦和レッズ,柏レイソル,埼玉スタジアム２００２,スカパー／ｅ２／スカパー光／ＮＨＫ総合,1,0,雨のち曇,7.2,79%,46,1,東城　穣,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,原口　元気,デスポトビッチ,柏レイソル,菅野　孝憲,酒井　宏樹,那須　大亮,増嶋　竜也,橋本　和,レアンドロ　ドミンゲス,茨田　陽生,大谷　秀和,ジョルジ　ワグネル,田中　順也,リカルド　ロボ,埼玉県さいたま市緑区中野田500,63700,13.0,7.0,専用,74.0,0.64473,35.902,139.714677,35.848792,139.97567,24.29721262,<function timezone at 0x000001CC36D28280>,3,土,4,雨,2,土noon,3noon,1,"(73, 75]","(50000, 1000000]","(0, 100]",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.355263158,1,18023.75435,0.492
11,14005,19488,2012,Ｊ１,第２節第１日,03/17(土),14:03,横浜Ｆ・マリノス,ベガルタ仙台,日産スタジアム,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,0,2,雨,6.4,80%,45,1,今村　義朗,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,金井　貢史,中村　俊輔,兵藤　慎剛,小椋　祥平,齋藤　学,小野　裕二,大黒　将志,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾,神奈川県横浜市港北区小机町3300,72327,7.0,1.0,陸上,66.6,0.26944,35.510047,139.606337,38.319158,140.881857,331.8080129,<function timezone at 0x000001CC36D28280>,3,土,3,雨,2,土noon,3noon,1,"(5, 73]","(50000, 1000000]","(300, 500]",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.276315789,2,12734.89941,0.555
12,14006,26294,2012,Ｊ１,第２節第１日,03/17(土),14:03,アルビレックス新潟,大宮アルディージャ,デンカビッグスワンスタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／新潟総合テレビ,1,2,雨,11.0,68%,53,1,松村　和彦,アルビレックス新潟,小澤　英明,村上　佑介,鈴木　大輔,大井　健太郎,金　珍洙,三門　雄大,本間　勲,田中　亜土夢,アラン　ミネイロ,矢野　貴章,ブルーノ　ロペス,大宮アルディージャ,北野　貴之,村上　和弘,菊地　光将,金　英權,下平　匠,渡邉　大剛,青木　拓矢,カルリーニョス,曺　永哲,東　慶悟,ラファエル,新潟県新潟市中央区清五郎67-12,42300,13.0,13.0,陸上,90.7,0.62161,37.882408,139.059359,35.918913,139.63182,223.7926495,<function timezone at 0x000001CC36D28280>,3,土,4,雨,2,土noon,3noon,1,"(75, 100]","(40000, 50000]","(100, 300]",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236842105,3,11358.25212,0.454
13,14007,30764,2012,Ｊ１,第２節第１日,03/17(土),14:04,セレッソ大阪,ガンバ大阪,ヤンマースタジアム長居,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ＮＨＫ大阪,2,1,曇,17.1,70%,62,3,吉田　寿光,セレッソ大阪,キム　ジンヒョン,酒本　憲幸,茂庭　照幸,藤本　康太,丸橋　祐介,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス,ガンバ大阪,藤ヶ谷　陽介,加地　亮,中澤　聡太,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,二川　孝広,パウリーニョ,ラフィーニャ,イ　スンヨル,大阪府大阪市東住吉区長居公園1-1,47816,7.0,13.0,陸上,69.8,0.64338,34.615219,135.525871,34.811971,135.541163,21.87165577,<function timezone at 0x000001CC36D28280>,3,土,4,曇,2,土noon,3noon,1,"(5, 73]","(40000, 50000]","(0, 100]",7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.460526316,1,8541.154118,0.505
14,14008,13231,2012,Ｊ１,第２節第１日,03/17(土),15:04,清水エスパルス,サンフレッチェ広島,ＩＡＩスタジアム日本平,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／テレビ静岡,2,1,雨,11.5,95%,53,1,木村　博之,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,小野　伸二,大前　元紀,河井　陽介,アレックス,高木　俊幸,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,石原　直樹,髙萩　洋次郎,佐藤　寿人,静岡県静岡市清水区村松3880-1,20281,13.0,1.0,専用,26.6,0.65238,34.985168,138.481305,34.441236,132.395422,560.6669853,<function timezone at 0x000001CC36D28280>,3,土,4,雨,2,土noon,3noon,1,"(5, 73]","(20000, 30000]","(500, 1000]",4,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0.342105263,1,5836.637882,0.386
15,14009,10653,2012,Ｊ１,第２節第１日,03/17(土),17:04,ジュビロ磐田,サガン鳥栖,ヤマハスタジアム（磐田）,スカパー／ｅ２／スカパー光,2,1,雨,15.1,95%,59,2,高山　啓義,ジュビロ磐田,川口　能活,駒野　友一,チョ　ビョングク,藤田　義明,金沢　浄,山本　康裕,小林　裕紀,山田　大記,ペク　ソンドン,菅沼　実,前田　遼一,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,呂　成海,磯崎　敬太,高橋　義希,藤田　直之,水沼　宏太,金　民友,池田　圭,豊田　陽平,静岡県磐田市新貝2500,15165,7.0,7.0,専用,17.2,0.70247,34.722804,137.878302,33.372508,130.520424,695.5113757,<function timezone at 0x000001CC36D28280>,3,土,3,雨,2,土noon,3noon,1,"(5, 73]","(10000, 20000]","(500, 1000]",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0.236842105,3,7020.175588,0.535
16,14010,14036,2012,Ｊ１,第２節第１日,03/17(土),17:06,ヴィッセル神戸,コンサドーレ札幌,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光,2,1,屋内,17.2,70%,62,3,飯田　淳平,ヴィッセル神戸,徳重　健太,近藤　岳登,北本　久仁衛,伊野波　雅彦,相馬　崇人,三原　雅俊,田中　英雄,野沢　拓也,橋本　英郎,森岡　亮太,大久保　嘉人,コンサドーレ札幌,李　昊乗,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,山本　真希,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介,兵庫県神戸市兵庫区御崎町1-2-2,30132,1.0,7.0,専用,100.0,0.46582,34.656726,135.168171,42.990187,141.392009,1070.671506,<function timezone at 0x000001CC36D28280>,3,土,3,晴,2,土noon,3noon,1,"(75, 100]","(30000, 40000]","(1000, 2000]",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.342105263,1,8212.149,0.561
17,14011,21757,2012,Ｊ１,第２節第１日,03/17(土),19:04,ＦＣ東京,名古屋グランパス,味の素スタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ,3,2,雨のち曇,7.6,83%,47,1,村上　伸次,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,梶山　陽平,石川　直宏,長谷川　アーリアジャスール,羽生　直剛,ルーカス,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,吉村　圭司,ダニルソン,金崎　夢生,永井　謙佑,ケネディ,玉田　圭司,東京都調布市西町376-3,49970,1.0,1.0,陸上,77.4,0.4354,35.663902,139.525096,35.088621,137.171555,223.1764477,<function timezone at 0x000001CC36D28280>,3,土,5,雨,2,土night,3night,1,"(75, 100]","(40000, 50000]","(100, 300]",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.447368421,1,15810.61059,0.66
18,14012,11831,2012,Ｊ１,第３節第１日,03/24(土),13:03,ベガルタ仙台,大宮アルディージャ,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）,4,1,曇時々雨,8.9,57%,50,1,東城　穣,ベガルタ仙台,林　卓人,菅井　直樹,渡辺　広大,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,柳沢　敦,赤嶺　真吾,大宮アルディージャ,北野　貴之,村上　和弘,菊地　光将,金　英權,下平　匠,青木　拓矢,上田　康太,渡邉　大剛,曺　永哲,東　慶悟,ラファエル,宮城県仙台市泉区七北田字柳78,19694,1.0,7.0,専用,100.0,0.60074,38.319158,140.881857,35.918913,139.63182,288.6080381,<function timezone at 0x000001CC36D28280>,3,土,3,曇,3,土noon,3noon,1,"(75, 100]","(10000, 20000]","(100, 300]",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.355263158,1,8482.6,0.511
19,14013,14349,2012,Ｊ１,第３節第１日,03/24(土),13:04,サンフレッチェ広島,鹿島アントラーズ,エディオンスタジアム広島,スカパー／ｅ２／スカパー光,2,0,曇時々晴,10.6,60%,53,1,井上　知大,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,大﨑　淳矢,髙萩　洋次郎,佐藤　寿人,鹿島アントラーズ,曽ヶ端　準,新井場　徹,岩政　大樹,山村　和也,アレックス,増田　誓志,小笠原　満男,柴崎　岳,遠藤　康,ジュニーニョ,大迫　勇也,広島県広島市安佐南区大塚西5-1-1,50000,7.0,16.0,陸上,4.8,0.28698,34.441236,132.395422,35.992776,140.641766,770.0144759,<function timezone at 0x000001CC36D28280>,3,土,3,曇,3,土noon,3noon,1,"(0, 5]","(40000, 50000]","(500, 1000]",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,0.302631579,2,8452.692529,0.477
20,14014,14777,2012,Ｊ１,第３節第１日,03/24(土),14:04,川崎フロンターレ,セレッソ大阪,等々力陸上競技場,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,0,1,雨のち曇,10.3,77%,51,1,松尾　一,川崎フロンターレ,西部　洋平,實藤　友紀,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,丸橋　祐介,酒本　憲幸,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス,神奈川県川崎市中原区等々力1-1,26530,1.0,5.0,陸上,38.0,0.55699,35.59009,139.647336,34.615219,135.525871,390.98886,<function timezone at 0x000001CC36D28280>,3,土,4,雨,3,土noon,3noon,1,"(5, 73]","(20000, 30000]","(300, 500]",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.434210526,1,10149.99,0.57
21,14015,11839,2012,Ｊ１,第３節第１日,03/24(土),14:04,ヴィッセル神戸,ＦＣ東京,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,0,2,晴,12.4,51%,55,2,山本　雄大,ヴィッセル神戸,徳重　健太,近藤　岳登,北本　久仁衛,高木　和道,相馬　崇人,伊野波　雅彦,田中　英雄,野沢　拓也,橋本　英郎,吉田　孝行,大久保　嘉人,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,長谷川　アーリアジャスール,石川　直宏,梶山　陽平,羽生　直剛,ルーカス,兵庫県神戸市兵庫区御崎町1-2-2,30132,1.0,1.0,専用,100.0,0.3929,34.656726,135.168171,35.663902,139.525096,412.3426261,<function timezone at 0x000001CC36D28280>,3,土,3,晴,3,土noon,3noon,1,"(75, 100]","(30000, 40000]","(300, 500]",4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.276315789,2,8212.149,0.561
22,14016,10611,2012,Ｊ１,第３節第１日,03/24(土),15:04,サガン鳥栖,横浜Ｆ・マリノス,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,1,0,晴,12.7,30%,56,2,前田　拓哉,サガン鳥栖,赤星　拓,丹羽　竜平,小林　久晃,呂　成海,磯崎　敬太,高橋　義希,藤田　直之,水沼　宏太,金　民友,池田　圭,豊田　陽平,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,金井　貢史,中村　俊輔,谷口　博之,富澤　清太郎,兵藤　慎剛,大黒　将志,齋藤　学,佐賀県鳥栖市京町812,24490,12.0,12.0,専用,83.1,0.43328,33.372508,130.520424,35.510047,139.606337,867.6662763,<function timezone at 0x000001CC36D28280>,3,土,3,晴,3,土noon,3noon,1,"(75, 100]","(20000, 30000]","(500, 1000]",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0.25,2,4820.311059,0.402
23,14017,20192,2012,Ｊ１,第３節第１日,03/24(土),16:03,コンサドーレ札幌,浦和レッズ,札幌ドーム,スカパー／ｅ２／スカパー光,1,2,屋内,20.6,35%,65,3,村上　伸次,コンサドーレ札幌,李　昊乗,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,山本　真希,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,矢島　慎也,デスポトビッチ,北海道札幌市豊平区羊ヶ丘1,39232,12.0,7.0,専用,100.0,0.51468,42.990187,141.392009,35.902,139.714677,800.0456514,<function timezone at 0x000001CC36D28280>,3,土,3,晴,3,土noon,3noon,1,"(75, 100]","(30000, 40000]","(500, 1000]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0.447368421,1,6496.487118,0.541
